forest_risk_id,severity_id,fri,fti,sdr,WHP
1,3,-4.112711906,0.000460883,"Med, 41-55",166
2,4,-0.779246926,0.000230543,"Fast, 26-40",94
3,6,-2.752793074,0.001540137,"Fast, 0-25",895
4,10,-10.79020596,0.00415721,"Fast, 0-25",653
5,13,-3.194803953,0.000436614,"Slow, 26-40",1334
6,15,-67.95066071,0.016073609,"Fast, 26-40",1571
7,16,-4.268305302,0.00126798,"Med, 0-25",116
8,18,-1.278867841,0.000228868,"Slow, 0-25",477
9,21,-158.1266479,0.061220333,"Fast, 0-25",2358
10,22,-48.5063858,0.008133,"Med, 26-40",376
11,23,-74.02487946,0.007490807,"Fast, 56-74",1671
12,27,-13.46659756,0.001469914,"Med, 75+",133
13,28,-196.7495422,0.005382649,"Fast, 26-40",391
14,29,-9.187569618,0.001172563,"Med, 41-55",463
15,32,-101.8405991,0.018950289,"Med, 41-55",993
16,34,-2.007966042,0.00038199,"Med, 26-40",190
17,35,-10.2448864,0.001075508,"Slow, 41-55",499
18,36,-38.61483002,0.014597086,"Fast, 0-25",9907
19,38,-94.19508362,0.017334366,"Med, 26-40",3086
20,48,-97.0634613,0.011863122,"Fast, 41-55",1768
21,50,-6.242805481,0.002386914,"Fast, 0-25",4523
22,52,-34.12758255,0.013448046,"Fast, 0-25",462
23,53,-84.6158905,0.016728137,"Fast, 26-40",421
24,59,-27.76366234,0.003915929,"Fast, 0-25",1146
25,60,-13.00921822,0.00134931,"Slow, 0-25",317
26,62,-0.402381152,0.0000993,"Fast, 26-40",170
27,63,-64.63346863,0.007425193,"Med, 56-74",711
28,66,-125.9403,0.012742447,"Fast, 56-74",692
29,68,-84.33660126,0.01146229,"Slow, 26-40",1345
30,71,-14.2713356,0.005473076,"Fast, 0-25",11240
31,72,-92.30609894,0.012629802,"Slow, 26-40",560
32,74,-14.55245781,0.002579355,"Slow, 0-25",1370
33,77,-34.04116058,0.004352213,"Med, 0-25",367
34,82,-44.00673676,0.005685634,"Med, 41-55",224
35,83,-387.2851563,0.0417707,"Med, 26-40",1106
36,84,-62.34259033,0.017447386,"Med, 0-25",15086
37,85,-29.160923,0.005786751,"Fast, 26-40",277
38,89,-96.10668182,0.011745888,"Slow, 26-40",511
39,91,-3.302456856,0.00130134,"Fast, 0-25",1496
40,92,-8.116644859,0.002405228,"Med, 0-25",611
41,94,-25.61898994,0.006138543,"Fast, 0-25",1640
42,98,-43.0256424,0.005498736,"Med, 41-55",8149
43,101,-1.898969889,0.001199005,"Fast, 0-25",147
44,103,-39.49656677,0.005572686,"Fast, 0-25",335
45,105,-16.8407402,0.002452624,"Slow, 26-40",1242
46,107,-51.17879868,0.00492732,"Slow, 56-74",2751
47,108,-234.8369904,0.0237437,"Fast, 56-74",575
48,109,-0.488860846,0.0000624,"Med, 41-55",90
49,111,-48.68729782,0.009544797,"Fast, 26-40",1821
50,113,-8.367149353,0.001206655,"Slow, 26-40",410
51,114,-0.739152372,0.000138797,"Med, 26-40",1521
52,116,-917.7468872,0.091392443,"Slow, 56-74",6614
53,119,-3.002491951,0.000504538,"Slow, 0-25",1715
54,121,-3.929179907,0.000648249,"Med, 26-40",301
55,123,-75.66716003,0.016774837,"Fast, 0-25",2361
56,126,-6.093662262,0.000887452,"Slow, 26-40",1296
57,129,-2.507678032,0.000606553,"Med, 0-25",951
58,131,-133.4745636,0.02369833,"Slow, 0-25",948
59,132,-4.171289444,0.002746787,"Med, 0-25",767
60,133,-678.8243408,0.063636683,"Fast/Slow, 75+",3063
61,135,-4.549932957,0.000793914,"Med, 26-40",326
62,137,-2.253519058,0.000693315,"Med, 26-40",39
63,142,-3.301204443,0.000480772,"Slow, 26-40",960
64,146,-211.8330994,0.0226197,"Med, 41-55",608
65,147,-17.70961761,0.005258432,"Med, 0-25",554
66,150,-5.935905457,0.000823985,"Slow, 41-55",395
67,151,-22.25440407,0.004853696,"Fast, 0-25",6887
68,152,-7.286249161,0.000806005,"Fast, 56-74",116
69,153,-0.15251793,0.0000286,"Med, 26-40",57
70,154,-1.121222615,0.000455958,"Fast, 0-25",185
71,156,-95.44145203,0.018565863,"Fast, 26-40",878
72,157,-53.51597977,0.009399391,"Slow, 0-25",1836
73,158,-340.6961975,0.009273381,"Fast, 26-40",1900
74,164,-0.632585883,0.000194218,"Med, 0-25",272
75,165,-34.55636215,0.003969888,"Med, 56-74",182
76,169,-228.315567,0.02361333,"Slow, 41-55",871
77,174,-20.69893837,0.002828954,"Slow, 26-40",1650
78,176,-7.210807323,0.000729381,"Slow, 41-55",84
79,180,-23.37385368,0.004620893,"Fast, 26-40",6284
80,182,-75.80008698,0.00761737,"Fast, 56-74",570
81,183,-2.229601622,0.000286497,"Med, 41-55",139
82,186,-0.423035264,0.0000548,"Med, 26-40",70
83,188,-9.368000984,0.002042893,"Fast, 0-25",3940
84,189,-96.96320343,0.009492853,"Slow, 56-74",499
85,191,-139.4139404,0.014553305,"Slow, 41-55",1068
86,193,-28.33431625,0.008413172,"Med, 0-25",276
87,195,-8.272641182,0.001064802,"Fast, 41-55",652
88,196,-18.70969391,0.002422173,"Med, 41-55",611
89,198,-4.574893475,0.000630579,"Slow, 26-40",2149
90,199,-337.4747925,0.059912141,"Slow, 0-25",2698
91,200,-576.048584,0.063211851,"Slow, 41-55",176
92,201,-12.93491268,0.003931599,"Med, 0-25",344
93,207,-7.990715027,0.000883406,"Fast, 56-74",132
94,208,-1.186294794,0.000534284,"Fast, 0-25",1214
95,209,-5.213050365,0.002001269,"Fast, 0-25",2403
96,213,-5.691431522,0.000566772,"Slow, 56-74",24
97,215,-32.63227081,0.005731436,"Slow, 0-25",1612
98,216,-6.273806572,0.000582619,"Slow, 26-40",78
99,217,-433.8166504,0.069789998,"Fast, 26-40",287
100,218,-71.37821198,0.009702929,"Slow, 26-40",1646
101,219,-7.45792532,0.000964751,"Slow, 26-40",2245
102,222,-7.500646114,0.002876508,"Fast, 0-25",5177
103,224,-370.2181702,0.056076422,"Fast, 26-40",560
104,230,-12.67713642,0.001607411,"Med, 41-55",3284
105,231,-63.47505951,0.007257436,"Slow, 41-55",545
106,232,-45.92729568,0.006284858,"Slow, 26-40",7995
107,238,-11.26325226,0.002227868,"Fast, 0-25",571
108,239,-10.71888351,0.002601964,"Med, 26-40",1839
109,241,-54.77773666,0.005543279,"Fast, 56-74",971
110,242,-128.6203156,0.020411447,"Med, 0-25",665
111,243,-21.91142654,0.012255974,"Fast, 0-25",137
112,245,-98.77762604,0.012439502,"Fast, 41-55",317
113,246,-67.37800598,0.025468051,"Fast, 0-25",1575
114,247,-7.190148354,0.004748198,"Fast, 0-25",1220
115,256,-1.401677012,0.000190751,"Slow, 26-40",1267
116,263,-7.212961197,0.000997858,"Fast, 41-55",504
117,265,-164.3309631,0.018415086,"Slow, 41-55",1432
118,266,-113.2075424,0.020455863,"Slow, 26-40",420
119,270,-23.29754448,0.008975989,"Fast, 0-25",1196
120,271,-18.87884521,0.00196832,"Slow, 41-55",1001
121,273,-5.022907734,0.001213462,"Fast, 26-40",22
122,277,-8.061214447,0.001043792,"Slow, 26-40",1805
123,278,-40.30155945,0.007155832,"Slow, 0-25",198
124,280,-349.578064,0.035602946,"Med, 56-74",1225
125,281,-10.83819866,0.001977772,"Med, 26-40",811
126,282,-9.714364052,0.001116092,"Med, 41-55",217
127,283,-259.8768921,0.077163994,"Med, 0-25",329
