str_id,severity_id,wwacbd,wwacbh,wwacc,wwach,wwafuel13,wwafuel40
1,3,8,20,45,57,8,183
2,4,1,263,35,57,2,121
3,6,14,13,15,25,1,101
4,10,19,13,25,25,2,122
5,13,8,7,45,57,10,165
6,15,14,13,15,25,8,101
7,16,8,43,45,57,9,188
8,18,11,20,55,57,10,165
9,21,14,13,15,25,8,101
10,22,8,13,45,57,8,161
11,23,19,13,25,8,2,122
12,27,1,263,45,57,8,161
13,28,19,13,25,25,2,122
14,29,1,263,65,57,8,161
15,32,8,20,45,57,8,183
16,34,1,263,45,57,8,161
17,35,22,13,75,57,10,165
18,36,19,13,25,25,2,122
19,38,38,13,45,25,8,183
20,48,19,13,25,8,2,122
21,50,19,13,25,8,2,122
22,52,14,13,15,8,1,101
23,53,14,13,15,8,2,122
24,59,14,13,15,8,1,101
25,60,11,13,55,57,10,165
26,62,1,263,25,57,2,121
27,63,1,263,45,57,8,161
28,66,27,13,35,8,2,121
29,68,27,13,35,25,5,145
30,71,14,13,15,8,2,122
31,72,19,13,25,8,5,142
32,74,8,7,45,57,10,165
33,77,38,13,45,25,8,183
34,82,8,20,45,57,8,183
35,83,38,13,45,25,8,183
36,84,1,52,25,8,8,183
37,85,19,13,25,8,2,122
38,89,1,144,45,25,6,147
39,91,14,13,15,8,1,101
40,92,38,13,45,25,8,183
41,94,19,13,25,25,2,122
42,98,1,144,15,25,8,161
43,101,1,144,25,25,2,121
44,103,14,13,15,25,1,101
45,105,11,13,55,57,10,165
46,107,1,144,45,25,6,147
47,108,4,13,25,57,5,122
48,109,1,263,65,57,8,161
49,111,19,13,25,25,2,122
50,113,8,39,45,57,10,165
51,114,8,13,45,57,8,161
52,116,27,13,35,25,5,145
53,119,16,13,65,57,10,165
54,121,6,7,35,57,8,183
55,123,14,13,15,25,2,122
56,126,11,13,55,57,10,165
57,129,6,7,35,57,8,183
58,131,27,13,35,25,5,145
59,132,8,43,45,57,9,188
60,133,16,13,65,57,10,165
61,135,8,13,45,57,8,161
62,137,1,263,65,57,8,161
63,142,11,13,55,57,10,165
64,146,1,144,25,25,8,183
65,147,38,13,45,25,8,183
66,150,11,20,55,57,10,165
67,151,19,13,25,25,2,122
68,152,1,263,35,57,2,121
69,153,1,263,45,57,8,161
70,154,14,13,15,25,8,101
71,156,14,13,15,25,8,101
72,157,27,13,35,25,5,145
73,158,19,13,25,25,2,122
74,164,1,263,55,57,8,161
75,165,1,263,45,57,8,161
76,169,16,20,65,57,10,165
77,174,11,7,55,57,10,165
78,176,16,13,65,57,10,165
79,180,14,13,15,8,2,122
80,182,19,13,25,25,2,122
81,183,1,263,65,57,8,161
82,186,8,20,45,57,8,183
83,188,14,13,15,8,2,122
84,189,1,144,35,25,6,147
85,191,8,13,45,57,10,165
86,193,38,13,45,25,8,183
87,195,1,144,35,25,2,122
88,196,8,20,45,57,8,183
89,198,1,144,45,25,6,147
90,199,27,13,35,25,5,145
91,200,1,144,45,25,6,147
92,201,6,20,35,57,8,183
93,207,1,263,35,57,2,121
94,208,1,144,25,25,2,122
95,209,19,13,25,8,2,122
96,213,11,13,55,57,10,165
97,215,27,13,35,25,5,145
98,216,11,7,55,57,10,165
99,217,19,13,25,25,2,122
100,218,27,13,35,25,5,145
101,219,27,13,35,25,5,145
102,222,14,13,15,8,2,122
103,224,19,13,25,25,2,122
104,230,38,13,45,25,8,183
105,231,8,13,45,57,10,165
106,232,27,13,35,25,5,145
107,238,14,13,15,8,2,122
108,239,1,263,45,57,8,161
109,241,14,13,15,25,2,122
110,242,6,3,25,25,8,183
111,243,1,263,35,57,2,121
112,245,14,13,15,8,1,101
113,246,19,13,25,25,2,122
114,247,38,13,45,25,2,121
115,256,11,20,55,57,10,165
116,263,1,263,35,57,2,121
117,265,1,52,15,8,5,142
118,266,27,13,35,25,5,145
119,270,19,13,25,25,2,122
120,271,22,20,75,57,10,165
121,273,1,263,25,57,2,121
122,277,27,13,35,25,5,145
123,278,27,13,35,25,5,145
124,280,1,144,35,25,8,161
125,281,6,7,35,57,8,183
126,282,8,13,45,57,8,161
127,283,38,13,45,25,8,183
128,284,27,13,35,25,5,145
129,285,27,13,35,8,5,145
130,289,19,13,25,25,2,122
131,290,11,20,55,57,10,165
132,291,19,13,25,25,5,145
133,293,19,13,25,25,2,122
134,294,1,144,55,25,6,147
135,295,8,20,45,57,10,165
136,297,8,20,45,57,8,183
137,300,14,13,15,8,2,122
138,301,1,263,35,57,2,121
139,303,19,13,25,25,2,122
140,304,1,263,65,57,8,161
141,306,19,13,25,25,5,145
142,308,8,13,45,57,8,161
143,309,1,263,45,57,8,161
144,310,1,52,25,8,8,183
145,311,27,13,35,25,5,145
146,312,1,144,35,25,2,122
147,313,8,20,45,57,8,183
148,314,45,13,55,25,8,183
149,315,1,144,45,25,6,147
150,316,4,7,25,57,8,183
151,317,14,13,15,25,8,101
152,318,11,13,55,57,10,165
153,319,6,7,35,57,8,183
154,321,1,263,45,57,8,161
155,322,8,13,45,57,8,161
156,323,8,20,45,57,8,183
157,325,14,13,15,8,2,122
158,326,1,263,35,57,2,121
159,330,38,13,45,25,8,183
160,333,1,144,55,25,6,147
161,335,27,13,35,25,5,145
162,337,38,13,45,25,8,183
163,340,19,13,25,25,2,122
164,342,6,3,25,25,8,183
165,343,8,13,45,57,8,161
166,346,1,144,45,25,4,147
167,348,11,20,55,57,10,165
168,351,1,263,55,57,8,161
169,353,14,13,15,8,2,122
170,355,19,13,25,25,2,122
171,356,27,13,35,25,5,145
172,360,14,13,15,25,8,101
173,361,8,20,45,57,8,183
174,362,1,144,25,25,8,161
175,363,8,16,45,57,8,183
176,366,38,13,45,25,8,183
177,370,14,13,15,8,2,122
178,371,27,13,35,25,5,145
179,375,19,13,25,8,2,122
180,382,11,20,55,57,10,165
181,386,19,13,25,8,2,122
182,387,1,263,55,57,8,161
183,388,27,13,35,25,5,145
184,391,14,13,15,8,1,102
185,392,19,13,25,25,2,122
186,393,11,13,55,57,10,165
187,397,8,39,45,57,8,183
188,399,11,13,55,57,10,165
189,402,14,13,15,8,2,122
190,409,11,13,55,57,10,165
191,411,19,13,25,25,2,122
192,412,27,13,35,25,5,145
193,418,8,13,45,57,8,161
194,419,8,43,45,57,9,188
195,424,1,144,45,25,8,161
196,425,1,144,45,25,6,147
197,426,1,144,45,25,6,147
198,429,14,13,15,25,2,122
199,436,19,13,25,25,2,122
200,438,1,144,55,25,6,147
201,440,8,7,45,57,10,165
202,442,12,16,45,25,8,161
203,444,14,13,15,25,2,122
204,445,14,13,15,8,1,101
205,446,14,13,15,8,2,122
206,447,16,13,65,57,10,165
207,448,1,144,45,25,6,147
208,449,38,13,45,25,8,183
209,454,11,20,55,57,10,165
210,456,1,263,35,57,2,121
211,459,19,13,25,8,2,122
212,462,8,13,45,57,8,161
213,463,1,263,65,57,8,161
214,467,8,39,45,57,10,165
215,468,6,20,35,57,8,161
216,469,19,13,25,8,2,122
217,471,11,13,55,57,10,165
218,476,1,144,35,25,6,147
219,478,27,13,35,25,5,145
220,479,11,13,55,57,10,165
221,480,8,20,45,57,8,183
222,481,19,13,25,25,2,122
223,486,19,13,25,8,2,122
224,488,8,13,45,57,8,161
225,489,1,144,55,25,6,147
226,490,1,263,45,57,8,161
227,491,1,263,65,57,8,161
228,495,8,20,45,57,10,165
229,497,4,20,25,57,8,183
230,504,1,144,35,25,6,147
231,505,19,13,25,8,2,122
232,506,19,13,25,25,5,145
233,509,38,13,45,25,8,183
234,512,1,263,55,57,8,161
235,514,8,13,45,57,8,161
236,516,11,13,55,57,10,165
237,519,14,13,15,8,2,122
238,520,19,13,25,25,2,122
239,521,9,20,35,25,6,147
240,522,19,13,25,25,2,122
241,524,1,263,45,57,8,161
242,525,1,144,55,25,6,147
243,528,19,13,25,25,2,122
244,529,6,43,35,57,9,188
245,530,8,20,45,57,8,183
246,533,45,13,55,25,8,183
247,534,19,13,25,25,2,122
248,535,16,13,65,57,10,165
249,536,27,13,35,25,5,145
250,538,19,13,25,8,2,122
251,540,6,13,35,57,5,122
252,542,1,263,35,57,2,121
253,543,11,20,55,57,10,165
254,544,1,263,45,57,8,161
255,545,19,13,25,25,2,122
256,546,1,144,45,25,6,147
257,547,6,16,35,57,8,183
258,548,19,13,25,8,2,122
259,552,1,263,35,57,2,121
260,556,19,13,25,8,5,142
261,561,11,20,55,57,10,165
262,562,27,13,35,25,5,145
263,566,1,263,55,57,8,161
264,567,16,13,65,57,10,165
265,568,8,7,45,57,10,165
266,569,19,13,25,8,2,122
267,571,1,263,35,57,2,121
268,572,1,263,35,57,2,121
269,573,16,13,65,57,10,165
270,574,27,13,35,25,5,145
271,575,45,13,55,25,8,183
272,576,1,263,35,57,2,121
273,577,1,263,45,57,8,161
274,578,38,13,45,25,8,183
275,581,1,144,25,25,2,121
276,583,27,13,35,25,5,145
277,589,6,13,35,57,5,122
278,594,1,263,55,57,8,161
279,595,22,13,75,57,10,165
280,596,27,13,35,25,5,145
281,597,1,263,55,57,8,161
282,598,19,13,25,25,2,122
283,600,14,13,15,8,2,122
284,601,1,263,45,57,8,161
285,603,1,144,45,25,6,147
286,608,1,263,55,57,8,161
287,609,11,7,55,57,10,165
288,610,11,13,55,57,10,165
289,611,1,263,65,57,8,161
290,613,1,144,65,25,6,147
291,614,14,13,15,25,1,101
292,619,19,13,25,25,2,122
293,620,11,13,55,57,10,165
294,624,8,20,45,57,8,183
295,626,19,13,25,25,2,122
296,630,1,144,45,25,6,147
297,632,19,13,25,8,2,122
