forest_topo_id,severity_id,asp,dem,slope
1,3,West,2782,44
2,4,South,2819,32
3,6,North,1837,22
4,10,East,2261,0
5,13,West,2875,32
6,15,South,1955,32
7,16,East,2380,22
8,18,South,2494,22
9,21,West,1888,22
10,22,North,2635,32
11,23,South,1995,64
12,27,East,2532,90
13,28,North,2267,32
14,29,West,2815,44
15,32,East,2468,44
16,34,West,2755,32
17,35,North,3031,44
18,36,East,1994,22
19,38,West,2228,32
20,48,West,2276,44
21,50,North,1630,0
22,52,East,1791,22
23,53,East,1673,32
24,59,West,1656,22
25,60,West,2585,22
26,62,East,2828,32
27,63,East,2385,64
28,66,West,2410,64
29,68,East,2163,32
30,71,East,1682,22
31,72,North,2207,32
32,74,East,3051,22
33,77,South,2368,22
34,82,North,2748,44
35,83,North,2013,32
36,84,North,1970,22
37,85,South,1878,32
38,89,South,2461,32
39,91,North,1916,22
40,92,West,2341,0
41,94,North,1982,22
42,98,North,1687,44
43,101,East,2671,22
44,103,North,1897,22
45,105,East,2827,32
46,107,North,2117,64
47,108,North,2433,64
48,109,West,2864,44
49,111,South,1953,32
50,113,East,2879,32
51,114,North,2327,32
52,116,North,2222,64
53,119,South,2934,0
54,121,East,2892,32
55,123,West,1525,0
56,126,North,3052,32
57,129,West,3157,22
58,131,East,2034,22
59,132,West,2525,22
60,133,North,1985,90
61,135,North,2783,32
62,137,South,2687,32
63,142,North,2741,32
64,146,South,2392,44
65,147,North,2341,22
66,150,West,2651,44
67,151,South,1909,22
68,152,West,2767,64
69,153,East,2352,32
70,154,North,2349,0
71,156,South,1763,32
72,157,East,2183,22
73,158,East,1765,32
74,164,North,2380,22
75,165,East,2599,64
76,169,West,2855,44
77,174,East,3000,32
78,176,North,2708,44
79,180,East,1813,32
80,182,East,2233,64
81,183,East,2778,44
82,186,South,2499,32
83,188,East,1751,22
84,189,South,2392,64
85,191,East,2525,44
86,193,West,2171,22
87,195,West,2358,44
88,196,East,2405,44
89,198,North,2167,32
90,199,North,1986,0
91,200,East,2052,44
92,201,West,2780,22
93,207,East,2452,64
94,208,North,2104,22
95,209,East,1948,22
96,213,West,2407,64
97,215,North,2244,22
98,216,North,2675,32
99,217,East,2027,32
100,218,North,2147,32
101,219,South,2277,32
102,222,East,1692,22
103,224,East,2180,32
104,230,West,2041,44
105,231,West,2572,44
106,232,West,2135,32
107,238,West,2368,22
108,239,South,2966,32
109,241,East,1821,64
110,242,South,1527,22
111,243,East,2349,22
112,245,South,1973,44
113,246,West,1846,0
114,247,East,1840,22
115,256,North,2441,32
116,263,East,2214,44
117,265,North,1864,44
118,266,South,2202,32
119,270,North,1830,0
120,271,West,2874,44
121,273,West,2783,32
122,277,West,2232,32
123,278,East,1924,22
124,280,West,2956,64
125,281,East,3120,32
126,282,East,2580,44
127,283,West,2024,22
128,284,East,2104,90
129,285,South,2181,64
130,289,West,1893,32
131,290,North,2144,32
132,291,East,1848,32
133,293,South,1383,32
134,294,East,2727,90
135,295,North,2470,64
136,297,East,2571,44
137,300,East,2190,32
138,301,West,2940,32
139,303,West,2257,32
140,304,North,2721,32
141,306,North,2094,32
142,308,North,2584,0
143,309,East,2738,22
144,310,East,2185,32
145,311,North,2527,90
146,312,East,2139,44
147,313,East,2549,22
148,314,North,2286,22
149,315,East,2037,32
150,316,West,3034,32
151,317,North,2071,32
152,318,West,2838,64
153,319,North,2675,64
154,321,West,2428,32
155,322,North,2764,22
156,323,East,2466,64
157,325,West,1802,32
158,326,North,2436,22
159,330,West,2023,44
160,333,West,1966,22
161,335,East,2121,32
162,337,West,1952,22
163,340,West,1865,22
164,342,West,2966,32
165,343,North,2414,44
166,346,North,1966,22
167,348,North,2184,32
168,351,South,2780,22
169,353,North,1675,32
170,355,East,2126,44
171,356,East,2148,44
172,360,North,1880,32
173,361,North,2403,44
174,362,North,1970,44
175,363,West,1988,32
176,366,North,2224,32
177,370,North,2032,32
178,371,North,2194,22
179,375,West,1769,0
180,382,East,2809,32
181,386,East,1969,32
182,387,South,2477,44
183,388,East,2108,44
184,391,East,1773,44
185,392,North,2480,64
186,393,East,2794,64
187,397,South,2816,22
188,399,East,2748,44
189,402,North,1513,32
190,409,West,2571,44
191,411,South,2423,32
192,412,West,2212,22
193,418,West,2639,44
194,419,South,2346,44
195,424,West,2436,22
196,425,West,2207,44
197,426,West,2042,64
198,429,East,1311,22
199,436,West,1991,22
200,438,West,2027,44
201,440,North,3007,44
202,442,West,2585,32
203,444,West,1848,32
204,445,East,1946,44
205,446,South,1770,44
206,447,South,2868,22
207,448,East,2068,44
208,449,East,2172,32
209,454,North,2313,44
210,456,East,2569,64
211,459,East,1642,0
212,462,South,2944,22
213,463,South,2891,44
214,467,North,2605,64
215,468,West,2370,90
216,469,West,1753,0
217,471,South,2659,22
218,476,East,2246,22
219,478,West,1999,32
220,479,East,2838,32
221,480,West,2628,32
222,481,West,2110,44
223,486,East,1677,22
224,488,West,2881,22
225,489,West,1953,64
226,490,East,2322,64
227,491,South,2849,22
228,495,North,2471,44
229,497,North,2656,32
230,504,South,2284,0
231,505,East,2147,44
232,506,West,2008,32
233,509,West,2284,32
234,512,South,2679,90
235,514,North,2746,32
236,516,North,2399,22
237,519,South,1742,22
238,520,North,2141,32
239,521,North,2635,0
240,522,West,1942,22
241,524,North,2470,32
242,525,North,2024,22
243,528,West,2241,22
244,529,South,2615,32
245,530,North,2565,22
246,533,South,2281,0
247,534,East,2379,44
248,535,North,2880,32
249,536,West,2316,22
250,538,West,1724,22
251,540,North,2512,44
252,542,East,2649,22
253,543,North,2605,64
254,544,East,2514,22
255,545,East,1796,0
256,546,East,2143,32
257,547,West,2357,22
258,548,West,2103,22
259,552,North,2706,22
260,556,North,2128,44
261,561,West,2177,44
262,562,East,2022,32
263,566,West,2393,22
264,567,East,2839,44
265,568,North,2766,64
266,569,South,1868,22
267,571,East,3179,22
268,572,North,2537,0
269,573,South,2725,64
270,574,South,2139,22
271,575,West,2043,32
272,576,East,2618,22
273,577,East,2548,22
274,578,West,2705,22
275,581,West,2184,44
276,583,West,1983,32
277,589,East,2455,32
278,594,South,2561,44
279,595,North,2674,44
280,596,North,1996,44
281,597,North,2471,22
282,598,West,1797,22
283,600,North,2263,32
284,601,North,2533,44
285,603,East,2189,64
286,608,South,2832,44
287,609,North,2395,90
288,610,South,2956,0
289,611,East,2778,32
290,613,West,2162,22
291,614,North,1858,22
292,619,North,1673,22
293,620,North,2885,22
294,624,North,2332,44
295,626,West,1831,22
296,630,West,2043,32
297,632,North,2006,44
298,633,North,2193,32
299,634,North,2981,22
300,635,North,1985,44
301,636,West,2305,22
302,637,West,1582,64
303,640,North,2271,22
304,643,West,2340,44
305,647,South,2232,22
306,651,South,2425,44
307,654,South,1896,64
308,657,North,1732,32
309,658,North,2513,44
310,660,North,2233,90
311,665,East,2254,32
312,666,East,2338,44
313,667,North,2425,64
314,669,South,2282,22
315,670,East,2537,64
316,671,West,2459,22
317,675,East,3008,22
318,680,South,2817,64
319,681,North,2206,22
320,683,South,1831,22
321,684,East,2472,44
322,685,North,2738,32
323,688,East,2385,64
324,691,West,2379,44
325,697,East,2447,22
326,698,West,2485,64
327,700,South,2508,44
328,703,North,2954,22
329,707,North,2248,32
330,711,West,2256,44
331,714,East,2443,0
332,715,North,1931,32
333,716,North,2141,32
334,718,East,2808,22
335,719,North,1658,22
336,721,West,1956,32
337,723,West,2367,44
338,724,West,2365,64
339,725,West,1934,22
340,726,East,1668,44
341,728,North,2331,22
342,731,South,2402,32
343,732,North,2353,64
344,733,North,1971,32
345,734,West,1806,22
346,735,East,2381,64
347,737,West,2173,44
348,738,North,1671,0
349,739,West,3238,22
350,745,South,2527,22
351,747,West,2755,32
352,748,West,1778,64
353,749,North,2645,44
354,750,North,2574,44
355,755,South,2601,64
356,756,South,2145,44
357,757,South,2730,0
358,759,West,1809,22
359,765,North,2093,64
360,767,East,2266,64
361,768,West,2260,44
362,773,North,2158,22
363,774,East,1716,22
364,778,East,2170,32
365,779,West,2087,32
366,780,North,2033,44
