nf_risk_id,severity_id,fri,fti,sdr,WHP
1,1,-1.363175273,0.000888614,"Fast, 0-25",855
2,2,-139.7574158,0.021044401,"Slow, 26-40",2815
3,5,-23.09472275,0.01524331,"Fast, 0-25",220
4,7,-585.538269,0.093834795,"Slow, 26-40",258
5,8,-2.920049191,0.001881025,"Fast, 0-25",1140
6,9,-84.4684906,0.018502861,"Fast, 0-25",206
7,11,-12.99573231,0.008577629,"Fast, 0-25",197
8,12,-84.64779663,0.018542137,"Slow, 0-25",4596
9,14,-2109.076904,0.433779985,"Slow, 0-25",674
10,17,-4.446581841,0.002864381,"Fast, 0-25",595
11,19,-26.15892029,0.016793478,"Fast, 0-25",132
12,20,-212.4797211,0.024137402,"Fast, 56-74",710
13,24,-152.6414185,0.030723706,"Slow, 0-25",7505
14,25,-0.486550927,0.000108025,"Slow, 0-25",139
15,26,-1.688298702,0.001114335,"Fast, 0-25",254
16,30,-4.582881451,0.001008838,"Slow, 0-25",280
17,31,-1.957502723,0.001271787,"Slow, 0-25",206
18,33,-326.9043579,0.031215137,"Slow, 56-74",5549
19,37,-104.0227356,0.01673433,"Slow, 26-40",5414
20,39,-2.375923157,0.000525929,"Slow, 0-25",206
21,40,-102.6607971,0.022598898,"Slow, 0-25",310
22,41,-229.7626495,0.028225726,"Slow, 41-55",273
23,42,-1.915567279,0.00106302,"Fast, 0-25",98
24,43,-286.8565063,0.040689815,"Fast, 41-55",1303
25,44,-109.6679077,0.012219274,"Slow, 56-74",85
26,45,-15.42115498,0.009875918,"Fast, 0-25",158
27,46,-5.638105392,0.001408711,"Fast, 26-40",114
28,47,-22.85309219,0.00353634,"Slow, 26-40",896
29,49,-1400.05957,0.035453144,"Slow, 0-25",562
30,51,-5.326948166,0.003472482,"Fast, 0-25",377
31,54,-0.815561295,0.000525423,"Fast, 0-25",134
32,55,-1.625679255,0.001047223,"Fast, 0-25",104
33,56,-151.4576721,0.033176869,#VALUE!,14648
34,57,-14.09522152,0.009095746,"Fast, 0-25",356
35,58,-15.01971436,0.002118761,"Slow, 41-55",1124
36,61,-2.360313177,0.001523127,"Fast, 0-25",66
37,64,-3.150283813,0.001346614,"Fast, 0-25",29
38,65,-1.839645982,0.000397102,"Slow, 0-25",62
39,67,-298.9613953,0.036726605,"Slow, 41-55",871
40,69,-40.83753204,0.005759934,"Fast, 41-55",453
41,70,-14.22466278,0.0031313,"Slow, 0-25",63
42,73,-2.389201641,0.001539066,"Fast, 0-25",81
43,75,-14.23130035,0.001758594,"Slow, 41-55",82
44,76,-102.6043091,0.022475021,"Slow, 0-25",2417
45,78,-27.80803108,0.010664416,"Slow, 0-25",5495
46,79,-168.6871185,0.036950991,"Slow, 0-25",20714
47,80,-2.009637833,0.001327827,"Fast, 0-25",99
48,81,-95.3897934,0.061291456,"Fast, 0-25",1061
49,86,-635.9906006,0.139312312,"Slow, 0-25",217
50,87,-193.9501953,0.076090135,"Fast, 0-25",1066
51,88,-9.712979317,0.005429518,"Fast, 0-25",7049
52,90,-2.805772781,0.001807411,"Fast, 0-25",617
53,93,-59.42547989,0.038347684,"Fast, 0-25",200
54,95,-118.9857788,0.028831985,"Fast, 26-40",2989
55,96,-9.647579193,0.001540279,"Slow, 26-40",433
56,97,-0.883241355,0.000168025,"Slow, 26-40",209
57,99,-8.737910271,0.005611071,"Fast, 0-25",171
58,100,-7.807950974,0.00172835,"Fast, 0-25",729
59,102,-326.4724426,0.04601061,"Fast, 41-55",188
60,104,-84.56840515,0.018619305,"Slow, 0-25",115
61,106,-28.5847435,0.007142051,"Fast, 26-40",3218
62,110,-177.3471985,0.007255443,"Fast, 0-25",3655
63,112,-0.179372802,0.000114929,"Fast, 0-25",63
64,115,-3.480619431,0.000770462,"Fast, 0-25",88
65,117,-0.323777199,0.000211061,"Fast, 0-25",152
