nf_str_id,severity_id,wwacbd,wwacbh_,wwacc_,wwach_,wwafuel13_,wwafuel40_
1,1,0,0,0,0,2,121
2,2,0,0,0,0,6,147
3,5,0,0,0,0,8,101
4,7,0,0,0,0,5,145
5,8,0,0,0,0,1,102
6,9,0,0,0,0,5,122
7,11,0,0,0,0,8,101
8,12,0,0,0,0,5,145
9,14,0,0,0,0,4,145
10,17,0,0,0,0,2,121
11,19,0,0,0,0,5,122
12,20,0,0,0,0,5,122
13,24,0,0,0,0,6,147
14,25,0,0,0,0,5,141
15,26,0,0,0,0,1,101
16,30,0,0,0,0,5,142
17,31,0,0,0,0,5,142
18,33,0,0,0,0,6,147
19,37,0,0,0,0,5,145
20,39,0,0,0,0,5,141
21,40,0,0,0,0,5,142
22,41,0,0,0,0,6,147
23,42,0,0,0,0,8,101
24,43,0,0,0,0,1,101
25,44,0,0,0,0,5,142
26,45,0,0,0,0,5,122
27,46,0,0,0,0,1,102
28,47,0,0,0,0,5,142
29,49,0,0,0,0,5,145
30,51,0,0,0,0,2,121
31,54,0,0,0,0,5,122
32,55,0,0,0,0,1,101
33,56,0,0,0,0,93,93
34,57,0,0,0,0,1,102
35,58,0,0,0,0,5,141
36,61,0,0,0,0,1,101
37,64,0,0,0,0,1,102
38,65,0,0,0,0,6,147
39,67,0,0,0,0,6,147
40,69,0,0,0,0,1,102
41,70,0,0,0,0,5,142
42,73,0,0,0,0,1,102
43,75,0,0,0,0,5,141
44,76,0,0,0,0,6,147
45,78,0,0,0,0,5,142
46,79,0,0,0,0,5,145
47,80,0,0,0,0,8,101
48,81,0,0,0,0,2,122
49,86,0,0,0,0,5,145
50,87,0,0,0,0,5,122
51,88,0,0,0,0,1,102
52,90,0,0,0,0,1,102
53,93,0,0,0,0,2,122
54,95,0,0,0,0,5,122
55,96,0,0,0,0,5,142
56,97,0,0,0,0,6,147
57,99,0,0,0,0,5,122
58,100,0,0,0,0,1,102
59,102,0,0,0,0,5,122
60,104,0,0,0,0,5,142
61,106,0,0,0,0,1,102
62,110,0,0,0,0,5,122
63,112,0,0,0,0,2,102
64,115,0,0,0,0,2,121
65,117,0,0,0,0,2,121
66,118,0,0,0,0,5,122
67,120,0,0,0,0,5,142
68,122,0,0,0,0,1,102
69,124,0,0,0,0,5,122
70,125,0,0,0,0,5,122
71,127,0,0,0,0,1,102
72,128,0,0,0,0,5,142
73,130,0,0,0,0,1,102
74,134,0,0,0,0,5,141
75,136,0,0,0,0,5,122
76,138,0,0,0,0,5,122
77,139,0,0,0,0,1,102
78,140,0,0,0,0,5,141
79,141,0,0,0,0,6,147
80,143,0,0,0,0,1,102
81,144,0,0,0,0,6,147
82,145,0,0,0,0,5,122
83,148,0,0,0,0,2,121
84,149,0,0,0,0,5,141
85,155,0,0,0,0,2,121
86,159,0,0,0,0,1,101
87,160,0,0,0,0,5,141
88,161,0,0,0,0,2,121
89,162,0,0,0,0,1,102
90,163,0,0,0,0,5,145
91,166,0,0,0,0,1,102
92,167,0,0,0,0,5,142
93,168,0,0,0,0,2,122
94,170,0,0,0,0,1,101
95,171,0,0,0,0,1,102
96,172,0,0,0,0,1,102
97,173,0,0,0,0,6,147
98,175,0,0,0,0,5,122
99,177,0,0,0,0,2,121
100,178,0,0,0,0,5,142
101,179,0,0,0,0,5,142
102,181,0,0,0,0,1,101
103,184,0,0,0,0,1,102
104,185,0,0,0,0,5,145
105,187,0,0,0,0,5,141
106,190,0,0,0,0,5,145
107,192,0,0,0,0,6,147
108,194,0,0,0,0,5,121
109,197,0,0,0,0,1,102
110,202,0,0,0,0,2,122
111,203,0,0,0,0,1,101
112,204,0,0,0,0,8,101
113,205,0,0,0,0,6,147
114,206,0,0,0,0,6,147
115,210,0,0,0,0,6,147
116,211,0,0,0,0,5,145
117,212,0,0,0,0,5,141
118,214,0,0,0,0,5,145
119,220,0,0,0,0,2,121
120,221,0,0,0,0,1,102
121,223,0,0,0,0,5,145
122,225,0,0,0,0,1,102
123,226,0,0,0,0,1,102
124,227,0,0,0,0,1,101
125,228,0,0,0,0,5,122
126,229,0,0,0,0,5,122
127,233,0,0,0,0,1,102
128,234,0,0,0,0,5,142
129,235,0,0,0,0,1,102
130,236,0,0,0,0,2,121
131,237,0,0,0,0,5,122
132,240,0,0,0,0,5,122
133,244,0,0,0,0,2,121
134,248,0,0,0,0,1,102
135,249,0,0,0,0,1,102
136,250,0,0,0,0,5,122
