nf_topo_id,severity_id,asp,dem,slope
1,1,West,1532,0
2,2,East,2327,32
3,5,West,1592,0
4,7,East,2237,32
5,8,West,1413,0
6,9,East,1957,22
7,11,South,1523,0
8,12,North,1659,22
9,14,South,1521,0
10,17,North,1519,0
11,19,North,1875,22
12,20,East,1695,64
13,24,North,1850,22
14,25,South,2534,22
15,26,North,1482,0
16,30,West,1582,0
17,31,West,1515,22
18,33,East,1832,64
19,37,West,1802,32
20,39,West,1298,0
21,40,West,1630,22
22,41,East,2335,44
23,42,West,1628,0
24,43,West,2162,44
25,44,South,2138,64
26,45,West,1987,22
27,46,North,1581,32
28,47,West,1864,32
29,49,West,1622,0
30,51,North,1495,0
31,54,North,2295,22
32,55,East,1366,0
33,56,South,1718,22
34,57,North,1708,22
35,58,East,1885,44
36,61,East,1424,22
37,64,North,1571,22
38,65,South,2719,22
39,67,East,2403,44
40,69,West,1884,44
41,70,West,1453,0
42,73,West,1366,0
43,75,East,1714,44
44,76,South,1904,22
45,78,East,1789,22
46,79,West,1640,0
47,80,East,2033,0
48,81,South,1916,22
49,86,North,1566,0
50,87,West,1990,22
51,88,South,1942,22
52,90,West,1445,0
53,93,East,1537,22
54,95,East,1838,32
55,96,South,2079,32
56,97,South,2743,32
57,99,South,1754,0
58,100,West,1574,22
59,102,North,1626,44
60,104,East,1734,22
61,106,South,1588,32
62,110,East,1631,22
63,112,East,3101,22
64,115,South,1492,0
65,117,South,1307,0
66,118,North,1858,22
67,120,West,1450,0
68,122,West,1607,0
69,124,North,2091,32
70,125,North,2161,22
71,127,North,1572,64
72,128,South,1372,0
73,130,South,1570,32
74,134,South,1652,64
75,136,North,1659,22
76,138,East,2172,22
77,139,West,1688,0
78,140,West,1734,0
79,141,North,1939,32
80,143,North,1472,0
81,144,North,1883,22
82,145,North,1543,0
83,148,West,1322,0
84,149,North,1455,0
85,155,West,1500,0
86,159,East,1548,44
87,160,North,1732,32
88,161,East,2509,22
89,162,South,1560,22
90,163,West,1893,22
91,166,South,1750,22
92,167,South,1579,0
93,168,West,2110,22
94,170,West,1831,22
95,171,West,1505,0
96,172,West,1619,22
97,173,East,1992,64
98,175,East,2006,0
99,177,West,2579,22
100,178,North,1458,0
101,179,East,1431,22
102,181,South,1340,0
103,184,South,1784,22
104,185,North,1756,32
105,187,West,2154,32
106,190,South,1573,0
107,192,North,1874,22
108,194,East,2507,22
109,197,North,1792,22
110,202,South,2425,44
111,203,North,1763,44
112,204,South,1647,0
113,205,East,2550,90
114,206,North,1847,0
115,210,South,2184,0
116,211,North,1606,0
117,212,East,1917,22
118,214,East,1821,22
119,220,South,2786,22
120,221,East,1334,22
121,223,West,1720,0
122,225,West,1674,22
123,226,South,1415,0
124,227,South,1826,0
125,228,East,2042,32
126,229,East,1969,64
127,233,South,1814,22
128,234,South,2117,44
129,235,North,1701,22
130,236,West,2775,0
131,237,East,2017,32
132,240,West,1991,0
133,244,East,1449,0
134,248,West,1597,22
135,249,East,1514,22
136,250,West,2065,22
137,251,East,2077,22
138,252,North,1945,22
139,253,West,1372,0
140,254,East,1613,22
141,255,South,1782,32
142,257,North,1553,0
143,258,East,1196,22
144,259,South,2117,32
145,260,South,2481,22
146,261,North,1604,0
147,262,North,1545,0
148,264,North,1634,22
149,267,West,2085,22
150,268,East,1284,0
151,269,South,2052,22
152,272,North,1377,0
153,274,West,1980,22
154,275,East,2212,64
155,276,South,1607,0
156,279,East,1891,22
157,286,West,1835,32
158,287,East,2337,22
159,288,West,1629,22
160,292,South,1335,0
161,296,North,2466,22
162,298,West,1972,22
163,299,East,2244,44
164,302,East,1676,22
165,305,South,1493,0
166,307,West,2052,22
167,320,South,2188,44
168,324,South,1685,22
169,327,North,1505,0
170,328,East,2434,0
171,329,South,2122,22
172,331,South,2119,22
173,332,South,2806,22
174,334,North,1517,0
175,336,South,1545,22
176,338,East,2852,0
177,339,South,1326,0
178,341,West,1592,0
179,344,South,1604,22
180,345,West,1668,32
181,347,East,2308,64
182,349,West,2235,22
183,350,East,2429,64
184,352,North,1645,0
185,354,East,1585,32
186,357,North,1515,22
187,358,North,1721,32
188,359,South,2190,22
189,364,East,1407,0
190,365,East,1569,22
191,367,East,2241,32
192,368,North,1371,0
193,369,South,2064,22
194,372,South,2442,0
195,373,South,1665,0
196,374,East,1897,32
197,376,West,1581,22
198,377,East,1634,22
199,378,East,1977,0
200,379,North,1514,22
201,380,East,1497,22
202,381,East,1578,32
203,383,West,1336,0
204,384,East,1790,0
205,385,West,1641,0
206,389,South,1557,0
207,390,South,1758,22
208,394,South,1365,0
209,395,South,1574,44
210,396,West,2257,32
211,398,East,1651,22
212,400,South,1600,22
213,401,South,3038,22
214,403,South,1821,0
215,404,South,2107,22
216,405,East,2079,32
217,406,East,1527,32
218,407,East,2139,32
219,408,East,1584,22
220,410,South,2139,22
221,413,South,1404,0
222,414,West,1337,0
223,415,South,1464,0
224,416,North,2051,0
225,417,South,1313,0
226,420,North,1491,22
227,421,West,1756,44
228,422,West,2028,0
229,423,East,1448,22
230,427,West,1618,0
231,428,North,1602,0
232,430,North,1730,64
233,431,West,1995,44
234,432,South,1899,32
235,433,South,1753,0
236,434,East,1583,32
237,435,South,1707,0
238,437,West,2085,32
239,439,West,1433,22
240,441,South,2808,0
241,443,North,1904,22
242,450,East,1724,22
243,451,East,2499,0
244,452,South,1728,44
245,453,West,2101,0
246,455,West,1727,0
247,457,East,1560,0
248,458,East,1671,22
249,460,South,1365,0
250,461,North,2006,22
251,464,South,2453,22
252,465,South,1708,22
253,466,West,1606,22
254,470,West,1332,0
255,472,South,2672,22
256,473,West,2833,32
257,474,East,1784,22
258,475,East,1194,0
259,477,East,2216,64
260,482,West,1372,0
261,483,West,1569,0
262,484,East,1630,32
263,485,West,2236,0
264,487,South,1655,22
265,492,North,2381,44
266,493,East,2231,32
267,494,South,1441,0
268,496,East,2233,32
269,498,West,1355,0
270,499,West,1450,0
271,500,West,1637,0
272,501,West,1453,0
273,502,North,1713,0
274,503,North,1677,0
275,507,West,1367,0
276,508,South,1461,0
277,510,West,1325,0
278,511,North,1932,44
279,513,East,1615,22
280,515,West,1622,0
281,517,East,1525,32
282,518,East,1509,44
283,523,South,1861,22
284,526,South,1832,32
285,527,East,2043,32
286,531,North,1369,0
287,532,East,1487,22
288,537,North,1881,0
289,539,West,1985,64
290,541,North,1353,22
291,549,North,1462,22
292,550,East,2060,44
293,551,South,1804,22
294,553,West,1512,0
295,554,West,1938,22
296,555,North,1479,22
297,557,East,1947,32
298,558,South,1467,0
299,559,East,1779,22
300,560,West,1545,0
301,563,West,1388,0
302,564,North,1539,0
303,565,North,2624,44
304,570,East,1837,22
305,579,West,1629,0
306,580,North,1532,22
307,582,West,1320,0
308,584,North,1568,0
309,585,South,1532,0
310,586,South,1397,0
311,587,East,1516,0
312,588,East,2119,64
313,590,East,1699,22
314,591,North,2465,22
315,592,West,1803,32
316,593,South,1769,32
317,599,South,1636,0
318,602,East,1111,22
319,604,West,2094,22
320,605,East,1889,44
321,606,West,1660,22
322,607,West,1398,0
323,612,South,1876,32
324,615,East,1449,0
325,616,North,1933,0
326,617,West,1344,0
327,618,East,2076,22
328,621,West,1455,0
329,622,West,1350,0
330,623,South,1363,0
331,625,North,1888,22
332,627,South,1314,0
333,628,West,1569,0
334,629,East,1633,0
335,631,North,1808,44
336,638,East,1599,22
337,639,West,1552,0
338,641,West,1607,22
339,642,West,1564,0
340,644,North,1854,32
341,645,West,1432,32
342,646,South,1330,0
343,648,North,2412,32
344,649,East,1633,0
345,650,West,1600,0
346,652,West,1455,0
347,653,East,2376,32
348,655,North,1455,0
349,656,West,1602,22
350,659,South,1428,32
351,661,South,1905,32
352,662,South,1871,32
353,663,West,1340,0
354,664,West,1495,0
355,668,South,1386,0
356,672,North,2989,0
357,673,East,1242,0
358,674,West,2109,22
359,676,South,2279,64
360,677,East,2268,22
361,678,East,1582,0
362,679,West,1728,0
363,682,North,1594,32
364,686,South,1772,32
365,687,West,1315,0
366,689,South,1516,0
367,690,West,1423,0
368,692,West,1725,32
369,693,South,1298,0
370,694,North,1553,0
371,695,West,1574,22
372,696,West,1562,32
373,699,East,1950,22
374,701,South,1483,0
375,702,East,2178,22
376,704,East,2146,44
377,705,West,1847,22
378,706,East,1738,32
379,708,West,1341,0
380,709,West,1857,32
381,710,South,1393,0
382,712,West,2222,32
383,713,North,1777,44
384,717,East,1405,0
385,720,East,1983,64
386,722,North,1726,44
387,727,East,1485,22
388,729,East,1817,32
389,730,South,2045,22
390,736,North,1661,22
391,740,South,1856,44
392,741,South,1483,0
393,742,South,1791,0
394,743,East,1624,32
395,744,West,1319,0
396,746,West,1420,22
397,751,South,1415,22
398,752,South,1493,0
399,753,South,2190,44
400,754,East,1966,44
401,758,South,1639,0
402,760,East,1947,64
403,761,West,1657,0
404,762,South,2510,64
405,763,South,1415,0
406,764,East,1838,22
407,766,West,1918,44
408,769,East,1758,22
409,770,East,1697,0
410,771,North,2528,0
411,772,South,1482,22
412,775,South,1813,0
413,776,South,1398,22
414,777,West,1379,0
415,781,West,1714,22
416,782,East,1959,0
